code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600537,2014-12-31,13.51,13.8,13.49,13.71,0.011062,5822827.0,79536598.0,6661295540.0,6661295540.0,0.01198429910377464,28.83291682188384,2014-09-30 00:00:00,2014-10-30 00:00:00,39.36478396851866,2.423223328354854,46.146566021668505,4.7772537059727656
sh600537,2014-12-30,13.32,13.73,13.25,13.56,0.012695999999999999,6415512.0,87069693.0,6588414840.0,6588414840.0,0.013204138602784157,28.517456715694824,2014-09-30 00:00:00,2014-10-30 00:00:00,38.93409500952331,2.3967109122436154,45.641677782043544,4.724985911816255
sh600537,2014-12-29,13.8,13.8,13.36,13.39,-0.033911000000000004,8313496.0,111952806.0,6505816720.0,6505816720.0,0.017110489924776116,28.159938141055974,2014-09-30 00:00:00,2014-10-30 00:00:00,38.44598478667172,2.366663749282722,45.0694757183237,4.665749555460133
sh600537,2014-12-26,13.92,13.97,13.7,13.86,-0.0043100000000000005,6204454.0,85673409.0,6734176230.0,6734176230.0,0.012769747850807284,29.14838916606646,2014-09-30 00:00:00,2014-10-30 00:00:00,39.79548963570823,2.4497367729916415,46.651473847982636,4.829523527811757
sh600537,2014-12-25,13.98,14.08,13.7,13.92,0.0,7222759.0,100105908.0,6763328510.0,6763328510.0,0.014865580628139561,29.27456253057323,2014-09-30 00:00:00,2014-10-30 00:00:00,39.96775064097081,2.4603408420207513,46.8534120539351,4.850428876268475
sh600537,2014-12-24,13.68,13.98,13.5,13.92,0.025037,6914371.0,95100652.0,6763328510.0,6763328510.0,0.014230869338623919,29.27456253057323,2014-09-30 00:00:00,2014-10-30 00:00:00,39.96775064097081,2.4603408420207513,46.8534120539351,4.850428876268475
sh600537,2014-12-23,13.35,13.84,13.25,13.58,0.018755,8776198.0,119743465.0,6598132270.0,6598132270.0,0.01806280383039366,28.55951788137719,2014-09-30 00:00:00,2014-10-30 00:00:00,38.99151995583653,2.4002458857785145,45.70899592301068,4.731954920913561
sh600537,2014-12-22,14.54,14.54,13.3,13.33,-0.091343,13682601.0,187882435.0,6476664440.0,6476664440.0,0.02816095739090043,28.033744994014448,2014-09-30 00:00:00,2014-10-30 00:00:00,38.273696772861506,2.3560580176573502,44.86750585077931,4.644840929284824
sh600537,2014-12-19,15.15,15.24,14.26,14.67,-0.029762,15786807.0,230438766.0,7127731990.0,7127731990.0,0.032491746184468984,30.85184507907213,2014-09-30 00:00:00,2014-10-30 00:00:00,42.12117088501107,2.592901411266683,49.37782447147747,5.111764867584603
sh600537,2014-12-18,15.29,15.29,15.1,15.12,-0.011765000000000001,12129647.0,183737386.0,7346374070.0,7346374070.0,0.02496473238259701,31.798223816292627,2014-09-30 00:00:00,2014-10-30 00:00:00,43.4132356030284,2.6724385266982766,50.89248665943559,5.268567988044793
sh600537,2014-12-17,15.77,15.95,15.28,15.3,-0.03713,14256885.0,220910243.0,7433830910.0,7433830910.0,0.02934292468323039,32.17678367624363,2014-09-30 00:00:00,2014-10-30 00:00:00,43.93007291082425,2.704254075901255,51.49836492275177,5.331290622215154
sh600537,2014-12-16,15.92,16.05,15.64,15.89,-0.001257,13927274.0,220859466.0,7720494970.0,7720494970.0,0.02866453313161086,33.417578360779366,2014-09-30 00:00:00,2014-10-30 00:00:00,45.624095579698455,2.8085349796974204,53.48423455165471,5.536874782904395
sh600537,2014-12-15,15.7,16.1,15.63,15.91,0.009518,10854840.0,172571251.0,7730212400.0,7730212400.0,0.0223409779012023,33.45963712464504,2014-09-30 00:00:00,2014-10-30 00:00:00,45.68151724687778,2.812069751374899,53.551548848557346,5.543843394050716
sh600537,2014-12-12,15.68,15.79,15.58,15.76,0.0070290000000000005,11477282.0,180091013.0,7657331700.0,7657331700.0,0.0236220620193324,33.1441709059621,2014-09-30 00:00:00,2014-10-30 00:00:00,45.25081994266352,2.785556821547411,53.04665082599553,5.49157458713041
sh600537,2014-12-11,15.48,15.72,15.29,15.65,0.007079,13634902.0,211565627.0,7603885860.0,7603885860.0,0.0280627852954121,32.91282664745712,2014-09-30 00:00:00,2014-10-30 00:00:00,44.934972024304685,2.7661138075938343,52.676388491290254,5.4532437369037146
sh600537,2014-12-10,15.25,15.69,15.06,15.54,0.015022999999999998,14705668.0,227149125.0,7550440020.0,7550440020.0,0.030266591101269353,32.68147448954563,2014-09-30 00:00:00,2014-10-30 00:00:00,44.61911332110457,2.746670129745366,52.30611351372657,5.414911577844155
sh600537,2014-12-09,16.41,16.68,15.19,15.31,-0.085424,24098675.0,385738095.0,7438689620.0,7438689620.0,0.04959888543514738,32.19776742945295,2014-09-30 00:00:00,2014-10-30 00:00:00,43.958721448779556,2.7060176269359077,51.53194904324983,5.334767367679505
sh600537,2014-12-08,16.82,17.1,16.3,16.74,-0.029001999999999997,16769085.0,280341861.0,8133485580.0,8133485580.0,0.03451342971459476,35.205130497031355,2014-09-30 00:00:00,2014-10-30 00:00:00,48.06459107693571,2.9587673708209135,56.345179671508795,5.83304981508317
sh600537,2014-12-05,17.84,18.38,17.11,17.24,-0.091197,30530828.0,537477686.0,8376421230.0,8376421230.0,0.06283727385089968,36.25664573668674,2014-09-30 00:00:00,2014-10-30 00:00:00,49.50019575419899,3.0471405407847527,58.02811094513974,6.007272739061429
sh600537,2014-12-04,17.69,19.0,17.46,18.97,0.073571,30775282.0,557571801.0,9216978580.0,9216978580.0,0.06334039885986151,39.89494503944941,2014-09-30 00:00:00,2014-10-30 00:00:00,54.467465175840076,3.3529164635072206,63.8511436968625,6.610093429556712
sh600537,2014-12-03,17.84,17.84,17.05,17.67,-0.003946,24284008.0,424910024.0,8585345890.000001,8585345890.000001,0.04998033007147718,37.16097495130682,2014-09-30 00:00:00,2014-10-30 00:00:00,50.734851421880876,3.123143661208453,59.475473626674436,6.157108779537368
sh600537,2014-12-02,16.79,17.78,16.65,17.74,0.097772,34402637.0,600436953.0,8619356880.0,8619356880.0,0.07080606927833807,37.30819308120525,2014-09-30 00:00:00,2014-10-30 00:00:00,50.93584426334402,3.1355164089582024,59.711093602028036,6.181500982413973
sh600537,2014-12-01,16.59,16.6,16.1,16.16,-0.031756,11835416.0,192669130.0,7851680220.0,7851680220.0,0.024359158447744323,33.9853749969987,2014-09-30 00:00:00,2014-10-30 00:00:00,46.399292624829236,2.856254676707188,54.39298287989496,5.630951584130379
sh600537,2014-11-28,17.05,17.38,16.57,16.69,-0.015338999999999998,13599753.0,230378468.0,8109192010.0,8109192010.0,0.0279904431033444,35.10001094455395,2014-09-30 00:00:00,2014-10-30 00:00:00,47.92107425899798,2.949932740824821,56.176937713938806,5.815632819961063
sh600537,2014-11-27,16.87,17.14,16.57,16.95,0.01315,11549350.0,194693532.0,8235518550.0,8235518550.0,0.023770389358178302,35.64679716628764,2014-09-30 00:00:00,2014-10-30 00:00:00,48.6675863662702,2.995886646089183,57.05205925078662,5.906228458282661
sh600537,2014-11-26,16.89,17.01,16.64,16.73,-0.013561000000000002,15349656.0,257616029.0,8128626870.0,8128626870.0,0.031592020274391064,35.18412591056373,2014-09-30 00:00:00,2014-10-30 00:00:00,48.035914095908986,2.9570020688833663,56.31156220775464,5.829569617808479
sh600537,2014-11-25,16.48,17.17,16.47,16.96,0.033516000000000004,19799092.0,334072516.0,8240377260.0,8240377260.0,0.040749663483246885,35.66781717933266,2014-09-30 00:00:00,2014-10-30 00:00:00,48.696284408776414,2.9976532445324717,57.08570140450109,5.909711211548286
sh600537,2014-11-24,16.19,16.49,16.18,16.41,0.009225,11604360.0,189603717.0,7973148050.0,7973148050.0,0.023883608633104462,34.51114175236054,2014-09-30 00:00:00,2014-10-30 00:00:00,47.117107435953,2.9004420294726656,55.23446313796891,5.71806455976326
sh600537,2014-11-21,15.8,16.56,15.7,16.26,0.047006,15833481.0,257265285.0,3740352840.0,7900267350.0,0.06883104671483346,34.19568654399221,2014-09-30 00:00:00,2014-10-30 00:00:00,46.6864251638168,2.8739300249921134,54.72958273721808,5.66579757711438
sh600537,2014-11-20,15.78,15.97,15.5,15.53,-0.01771,7915304.0,124426565.0,3572428020.0,7545581300.0,0.03440927862837667,32.66044945682471,2014-09-30 00:00:00,2014-10-30 00:00:00,44.59040842537368,2.744903109430236,52.27246332611091,5.4114279928810145
sh600537,2014-11-19,15.7,15.93,15.45,15.81,0.007006,6474215.0,101304598.0,3636837540.0,7681625270.0,0.028144600363424536,33.24929446174216,2014-09-30 00:00:00,2014-10-30 00:00:00,45.394342226199676,2.7943917879956386,53.21489919077961,5.5089922455497
sh600537,2014-11-18,15.78,15.9,15.66,15.7,-0.011956999999999999,4229409.0,66573905.0,3611533800.0,7628179430.0,0.01838601684968309,33.01797055999881,2014-09-30 00:00:00,2014-10-30 00:00:00,45.07852210036452,2.7749504848984397,52.84466943670605,5.470664768183804
