code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600423,2014-12-18,5.54,5.95,5.46,5.95,0.074007,14826397.0,85233720.0,2376117700.0,2376117700.0,0.03712655402129281,19.840010984668137,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.311946299344804,0.7970256113964911,3.391264349204009,1.8532744852033487
sh600423,2014-12-17,5.74,5.75,5.5,5.54,-0.034843,7650804.0,42610749.0,2212385220.0,2212385220.0,0.019158261308579887,18.47288796503946,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.843396085262764,0.7421046710091194,3.157581234762911,1.7255702106255817
sh600423,2014-12-16,5.72,5.8,5.7,5.74,-0.001739,7677166.0,44127447.0,2292254720.0,2292254720.0,0.019224274010874325,19.139775150612245,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.55975979582883,0.768895289584098,3.27157264026776,1.7878647832690242
sh600423,2014-12-15,5.68,5.8,5.55,5.75,0.008772,5662453.0,32100378.0,2296248200.0,2296248200.0,0.014179261958702897,19.173117201425523,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.595575501626158,0.7702347277757001,3.2772718159557073,1.7909792962652296
sh600423,2014-12-12,5.68,5.81,5.63,5.7,0.0035210000000000003,4531226.0,25891064.0,2276280820.0,2276280820.0,0.011346573750070081,19.00639312096839,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.416482120465435,0.7635369813750779,3.248773574163148,1.775405439747762
sh600423,2014-12-11,5.66,5.69,5.58,5.68,-0.0035090000000000004,4050570.0,22820419.0,2268293870.0,2268293870.0,0.010142970407974518,18.93970641468229,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.344847910970906,0.760858000355825,3.2373747775713193,1.7691761704516018
sh600423,2014-12-10,5.44,5.71,5.32,5.7,0.047794,6146148.0,33958663.0,2276280820.0,2276280820.0,0.015390475240221019,19.006399871832553,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.416489372177878,0.763537252575111,3.2487747280921946,1.7754060703524688
sh600423,2014-12-09,5.87,5.87,5.41,5.44,-0.065292,11458790.0,64540397.0,2172450470.0,2172450470.0,0.028693780806887625,18.13944331789698,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.485213097400706,0.7287093193653628,3.1005853517888005,1.694422825815445
sh600423,2014-12-08,5.88,5.88,5.76,5.82,-0.011885,7322531.0,42494302.0,2324202530.0,2324202530.0,0.018336237857894424,19.40653478722444,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.846310395760714,0.7796117283315889,3.317170016506546,1.8127830571851797
sh600423,2014-12-05,6.2,6.21,5.68,5.89,-0.05,14518559.0,86055086.0,2352156850.0,2352156850.0,0.036355701580870335,19.639955660246468,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.09704882099828,0.7889888609439072,3.357068778944299,1.834587125167799
sh600423,2014-12-04,5.84,6.2,5.8,6.2,0.063465,16393475.0,100111499.0,2475954580.0,2475954580.0,0.04105065004867739,20.67363753710155,2014-09-30 00:00:00,2014-10-29 00:00:00,-22.207419811577132,0.8305145904672707,3.533756609415051,1.9311443422818937
sh600423,2014-12-03,5.83,5.86,5.76,5.83,-0.0017120000000000002,5176422.0,30037454.0,2328196000.0,2328196000.0,0.012962199170516572,19.439885221517915,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.882135107010704,0.7809515033097195,3.3228706251875257,1.8158983532903237
sh600423,2014-12-02,5.75,5.85,5.74,5.84,0.013888999999999999,5472658.0,31796335.0,2332189480.0,2332189480.0,0.013703999179346268,19.473223379944383,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.91794663164408,0.7822907851338688,3.3285691355475837,1.8190125026949377
sh600423,2014-12-01,5.84,5.86,5.71,5.76,-0.012006999999999999,5950828.0,34377908.0,2300241670.0,2300241670.0,0.014901377419182219,19.20646479046955,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.631397156536938,0.7715743884526498,3.2829719382965816,1.7940943265928888
sh600423,2014-11-28,5.94,5.95,5.75,5.83,-0.018519,8864258.0,51853525.0,2328196000.0,2328196000.0,0.022196852902418872,19.43987942269788,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.88212887797478,0.780951270355812,3.322869633991923,1.8158978116169737
sh600423,2014-11-27,5.89,5.95,5.87,5.94,0.010204000000000001,7392457.0,43665140.0,2372124230.0,2372124230.0,0.018511338497646895,19.806679316968825,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.276141746987236,0.7956865903219849,3.385566948307632,1.850160942103794
sh600423,2014-11-26,5.93,5.93,5.84,5.88,-0.001698,4656838.0,27388815.0,2348163380.0,2348163380.0,0.011661116800143609,19.606613433493454,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.061232926208202,0.7876494156843418,3.351369573182873,1.8314725957368942
sh600423,2014-11-25,5.85,5.95,5.83,5.89,0.010292,5174226.0,30470697.0,2352156850.0,2352156850.0,0.012956700204750376,19.639962089120782,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.097055726832362,0.7889891192087581,3.3570698778354373,1.8345877256951244
sh600423,2014-11-24,5.89,5.9,5.8,5.83,-0.0017120000000000002,5803937.0,33925558.0,2328196000.0,2328196000.0,0.014533549885834355,19.439886774438264,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.882136775142595,0.7809515656946289,3.3228708906290825,1.815898498350105
sh600423,2014-11-21,5.88,5.95,5.81,5.84,-0.001709,3327962.0,19548695.0,2332189480.0,2332189480.0,0.008333498734416725,19.473224935527888,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.91794830263671,0.7822908476257643,3.328569401444356,1.8190126480034872
sh600423,2014-11-20,5.84,5.9,5.77,5.85,0.0017120000000000002,3500800.0,20513994.0,2336182950.0,2336182950.0,0.008766299745488683,19.50656164938669,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.953758275529587,0.7836300714178174,3.3342676648836416,1.8221266624696477
sh600423,2014-11-19,5.7,5.85,5.67,5.84,0.022767,4454696.0,25662848.0,2332189480.0,2332189480.0,0.011154936107507011,19.47322349077049,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.917946750692405,0.782290789586046,3.328569154491153,1.819012513047311
sh600423,2014-11-18,5.69,5.77,5.67,5.71,0.003515,2473999.0,14129638.0,2280274300.0,2280274300.0,0.00619510305843468,19.039745602635296,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.452309030983994,0.7648768386016034,3.254474532802831,1.7785209271000246
sh600423,2014-11-17,5.67,5.77,5.59,5.69,0.010657,2784563.0,15836767.0,2272287350.0,2272287350.0,0.006972781620247105,18.973055313209365,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.380670972515603,0.7621977136381654,3.243075123742875,1.7722913230993307
sh600423,2014-11-14,5.61,5.68,5.56,5.63,-0.010545,3691241.0,20731377.0,2248326500.0,2248326500.0,0.009243180129754286,18.772991542342623,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.16576442108015,0.7541606238695872,3.208878109727509,1.7536031740732323
sh600423,2014-11-13,5.8,5.88,5.63,5.69,-0.025685000000000003,5369412.0,30698368.0,2272287350.0,2272287350.0,0.013445462467588001,18.973062486260236,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.38067867773689,0.762198001798553,3.243076349836536,1.7722919931409034
sh600423,2014-11-12,5.54,5.85,5.49,5.84,0.052252,5446530.0,30970720.0,2332189480.0,2332189480.0,0.013638572454241582,19.473232462047935,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.91795638755114,0.7822911499859418,3.3285706879567036,1.8190133510629551
sh600423,2014-11-11,5.87,5.91,5.46,5.55,-0.059322,8567647.0,48543798.0,2216378700.0,2216378700.0,0.021454113798332387,18.506244190600672,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.87922701743607,0.7434446786377614,3.1632828333485734,1.7286860476986075
sh600423,2014-11-10,5.88,5.98,5.81,5.9,-0.0016920000000000001,5589816.0,32878950.0,2356150330.0,2356150330.0,0.013997372739794579,19.673303926105078,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.132871202936677,0.7903285488102851,3.362769016973474,1.8377022187173584
sh600423,2014-11-07,6.18,6.18,5.89,5.91,-0.02314,5279753.0,31953168.0,2360143800.0,2360143800.0,0.013220948753207326,19.706647573799945,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.168688624088638,0.7916680511528358,3.3684684656172985,1.8408168808798073
sh600423,2014-11-06,5.91,6.06,5.87,6.05,0.021959,5003135.0,29929160.0,2416052450.0,2416052450.0,0.01252827385845866,20.173461472268233,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.67013556096947,0.8104211976668466,3.448261230490857,1.8844224155762415
sh600423,2014-11-05,6.05,6.18,5.91,5.92,-0.021488,7137080.0,42784144.0,2364137280.0,2364137280.0,0.017871852856192853,19.739991009686527,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.204505817718196,0.7930075449864883,3.374167878056612,1.8439315232570401
sh600423,2014-11-04,5.86,6.23,5.85,6.05,0.039519,15818088.0,96412831.0,2416052450.0,2416052450.0,0.03960983231138049,20.173478720431152,2014-09-30 00:00:00,2014-10-29 00:00:00,-21.670154088777853,0.8104218905710797,3.4482641787291435,1.884424026743709
sh600423,2014-11-03,5.55,5.9,5.55,5.82,0.052440999999999995,9864724.0,56853025.0,2324202530.0,2324202530.0,0.024702104459029223,19.406551222662742,2014-09-30 00:00:00,2014-10-29 00:00:00,-20.846328050548234,0.7796123885865286,3.317172825825351,1.8127845924352597
sh600423,2014-10-31,5.6,5.6,5.47,5.53,0.001812,5145387.0,28455578.0,2208391750.0,2208391750.0,0.012884484879098103,18.439562144255824,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.80759781360498,0.740765884820649,3.15188483328315,1.7224572136920357
sh600423,2014-10-30,5.55,5.61,5.49,5.52,-0.001808,5234601.0,29098878.0,2204398270.0,2204398270.0,0.01310788432074028,18.4062100915699,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.771771363893606,0.7394260448274218,3.1461839479694294,1.7193417664112987
sh600423,2014-10-29,5.57,5.61,5.51,5.53,0.0,7204780.0,40021772.0,2208391750.0,2208391750.0,0.018041379388416934,18.439548795792692,2014-09-30 00:00:00,2014-10-29 00:00:00,-19.807583474816074,0.7407653485776502,3.1518825516227635,1.7224559667992718
sh600423,2014-10-28,5.34,5.56,5.34,5.53,0.035581,5546015.0,30350496.0,2208391750.0,2208391750.0,0.013887691325599274,18.439548795792692,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.48130109639635,0.8077069816488707,3.513740227216601,1.7249004776192556
sh600423,2014-10-27,5.2,5.37,5.2,5.34,0.019084,4918254.0,25965408.0,2132515720.0000002,2132515720.0000002,0.012315724622184731,17.80599373278642,2014-06-30 00:00:00,2014-08-15 00:00:00,-14.94938695900789,0.7799553889544811,3.393013416832291,1.6656355008630472
sh600423,2014-10-24,5.24,5.35,5.18,5.24,0.0,4662349.0,24532602.0,2092580970.0,2092580970.0,0.01167491681815304,17.472547633744046,2014-06-30 00:00:00,2014-08-15 00:00:00,-14.669435452826152,0.7653494598624656,3.3294737399785395,1.6344437758448243
sh600423,2014-10-23,5.35,5.4,5.06,5.24,-0.026022000000000003,8281636.0,43157447.0,2092580970.0,2092580970.0,0.020737918036213433,17.472547633744046,2014-06-30 00:00:00,2014-08-15 00:00:00,-14.669435452826152,0.7653494598624656,3.3294737399785395,1.6344437758448243
sh600423,2014-10-22,5.47,5.52,5.31,5.38,-0.011029,4609025.0,25045612.0,2148489620.0,2148489620.0,0.011541389015414466,17.939365810874627,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.06136222052875,0.7857974819374417,3.418428075355439,1.6781115957904842
sh600423,2014-10-21,5.48,5.58,5.43,5.44,-0.005484,4767132.0,26309685.0,2172450470.0,2172450470.0,0.011937302340430344,18.139425535101257,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.229326462079019,0.7945606918073854,3.456550369379323,1.6968258885149152
sh600423,2014-10-20,5.47,5.55,5.41,5.47,0.00367,4597747.0,25222814.0,2184430900.0,2184430900.0,0.011513147927911109,18.239450682644883,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.31330462464055,0.7989420902302079,3.475610618008482,1.7061825938596415
sh600423,2014-10-17,5.63,5.7,5.34,5.45,-0.040493,11454122.0,62897036.0,2176443950.0,2176443950.0,0.028682091675276085,18.17275666568183,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.257310295854765,0.7960206942821924,3.4629017685180212,1.699943800113226
sh600423,2014-10-16,5.99,5.99,5.67,5.68,-0.050167,10675662.0,62215764.0,2268293870.0,2268293870.0,0.026732761994370684,18.939681175522253,2014-06-30 00:00:00,2014-08-15 00:00:00,-15.901197485640816,0.8296142647028029,3.609042736028003,1.7716846256600798
sh600423,2014-10-15,5.97,6.01,5.88,5.98,0.003356,4784613.0,28432190.0,2388098130.0,2388098130.0,0.011981076229895126,19.940011744719598,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.741045516044206,0.8734317134725819,3.7996602939969475,1.8652590778169211
sh600423,2014-10-14,6.04,6.1,5.9,5.96,-0.019737,5717366.0,34269070.0,2380111180.0,2380111180.0,0.01431676874859266,19.873316893225933,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.68505048661114,0.8705102809696478,3.7869512854828677,1.8590202060055667
sh600423,2014-10-13,6.13,6.17,5.95,6.08,-0.003279,6545810.0,39558386.0,2428032880.0,2428032880.0,0.016391262708106324,20.27345405592778,2014-06-30 00:00:00,2014-08-15 00:00:00,-17.02099384207212,0.8880374766462141,3.8631992490615965,1.8964504485077645
sh600423,2014-10-10,6.15,6.25,6.04,6.1,-0.006515000000000001,10356062.0,63744321.0,2436019830.0,2436019830.0,0.025932456469371184,20.340149405829496,2014-06-30 00:00:00,2014-08-15 00:00:00,-17.076989289953875,0.8909589309809005,3.8759083525496068,1.902689366941967
sh600423,2014-10-09,5.85,6.15,5.85,6.14,0.049573,13891608.0,83913700.0,2451993730.0,2451993730.0,0.034785763143040334,20.47353448298615,2014-06-30 00:00:00,2014-08-15 00:00:00,-17.188975465109063,0.8968015933616517,3.901325488104608,1.9151666778481478
sh600423,2014-10-08,5.78,5.86,5.73,5.85,0.013865,8478951.0,49172322.0,2336182950.0,2336182950.0,0.021232011538308674,19.506536927861283,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.377112849805645,0.8544442295692167,3.7170596881823443,1.8247103134780978
sh600423,2014-09-30,5.78,5.83,5.75,5.77,-0.0051719999999999995,5351384.0,30887100.0,2304235150.0,2304235150.0,0.013400318834646714,19.23977741401595,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.153149432918237,0.8427593708918021,3.6662274446621046,1.7997566870126673
sh600423,2014-09-29,5.85,5.88,5.7,5.8,-0.008546999999999999,10768761.0,62152282.0,2316215580.0,2316215580.0,0.026965889677678448,19.339802874482775,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.23712785820085,0.8471407830215897,3.6852877529202077,1.8091134216293343
sh600423,2014-09-26,5.84,5.89,5.8,5.85,0.0,4970342.0,29025517.0,2336182950.0,2336182950.0,0.01244615739533584,19.5065251448962,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.377102957175833,0.8544437134403645,3.717057442884542,1.8247092112579562
sh600423,2014-09-25,5.85,5.91,5.77,5.85,0.0017120000000000002,8541824.0,49736050.0,2336182950.0,2336182950.0,0.02138945085614977,19.5065251448962,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.377102957175833,0.8544437134403645,3.717057442884542,1.8247092112579562
sh600423,2014-09-24,5.8,5.96,5.78,5.84,0.001715,7958298.0,46547545.0,2332189480.0,2332189480.0,0.019928252279055817,19.473187048668883,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.34911327524861,0.8529834058495501,3.7107047164100484,1.821590648068463
sh600423,2014-09-23,5.72,5.91,5.71,5.83,0.019231,7165514.0,41791671.0,2328196000.0,2328196000.0,0.017943054029815362,19.439847709846497,2014-06-30 00:00:00,2014-08-15 00:00:00,-16.32112255007523,0.8515230438293828,3.7043517531533903,1.8184719686422415
