code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600463,2014-12-31,9.3,9.75,9.27,9.59,0.031183,2254325.0,21322644.0,2416680000.0,2416680000.0,0.008945734126984127,27.621517322443502,2014-09-30 00:00:00,2014-10-30 00:00:00,44.208580791757335,2.9804831298996994,129.48073444721194,3.0528411336310897
sh600463,2014-12-30,9.79,9.89,9.26,9.3,-0.04908,3666768.0,34773522.0,2343600000.0,2343600000.0,0.014550666666666668,26.78624194002762,2014-09-30 00:00:00,2014-10-30 00:00:00,42.87171219052034,2.89035324467112,125.56523376278697,2.960523140539642
sh600463,2014-12-29,10.2,10.24,9.25,9.78,-0.037402,3730332.0,36764482.0,2464560000.0,2464560000.0,0.01480290476190476,28.168764922419992,2014-09-30 00:00:00,2014-10-30 00:00:00,45.084457357632964,3.039533551372481,132.0460540979125,3.11332513832882
sh600463,2014-12-26,10.29,10.31,10.0,10.16,0.008937,3587537.0,36294725.0,2560320000.0,2560320000.0,0.014236257936507936,29.263269737128056,2014-09-30 00:00:00,2014-10-30 00:00:00,46.836225877918885,3.15763543179238,137.17673847017397,3.234294210385665
sh600463,2014-12-25,9.85,10.11,9.83,10.07,0.022335,2207204.0,22114127.0,2537640000.0,2537640000.0,0.008758746031746032,29.004060448896272,2014-09-30 00:00:00,2014-10-30 00:00:00,46.42135819968827,3.129665610233721,135.9616492111737,3.2056453578228026
sh600463,2014-12-24,9.7,9.93,9.7,9.85,0.013374,2386326.0,23439401.0,2482200000.0,2482200000.0,0.009469547619047619,28.370407399625634,2014-09-30 00:00:00,2014-10-30 00:00:00,45.40718864138298,3.0612916609856073,132.99128877635383,3.1356114755171274
sh600463,2014-12-23,9.7,10.0,9.5,9.72,0.005171,2595522.0,25471676.0,2449440000.0,2449440000.0,0.010299690476190478,27.99598904217558,2014-09-30 00:00:00,2014-10-30 00:00:00,44.807927420067,3.0208902744550454,131.2361366843375,3.0942292534810716
sh600463,2014-12-22,10.72,10.73,9.67,9.67,-0.099628,6690829.0,67031183.0,2436840000.0,2436840000.0,0.02655090873015873,27.85196652328368,2014-09-30 00:00:00,2014-10-30 00:00:00,44.57741759369003,3.0053496116133926,130.56100572374004,3.0783113057191978
sh600463,2014-12-19,10.93,10.94,10.59,10.74,-0.023636,4146502.0,44606924.0,2706480000.0,2706480000.0,0.016454373015873016,30.933843481676107,2014-09-30 00:00:00,2014-10-30 00:00:00,49.509999859713574,3.3378976818619335,145.00784756049725,3.418932736379183
sh600463,2014-12-18,11.27,11.27,10.93,11.0,-0.023957,5227289.0,57803951.0,2772000000.0,2772000000.0,0.020743210317460316,31.682695676690358,2014-09-30 00:00:00,2014-10-30 00:00:00,50.70854707846006,3.418702125295416,148.5182243102954,3.50169889137574
