code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600626,2014-12-31,7.8,7.98,7.78,7.97,0.021795,9044152.0,71317626.0,5660635240.0,5660635240.0,0.012733887343710915,91.44149712005908,2014-09-30 00:00:00,2014-10-31 00:00:00,33.59620882446279,0.8158084709099105,65.25535975819831,2.595808816086566
sh600626,2014-12-30,8.07,8.09,7.77,7.8,-0.033457,15677710.0,123665531.0,5539893960.0,5539893960.0,0.022073732617077024,89.49103990532258,2014-09-30 00:00:00,2014-10-31 00:00:00,32.879597986350284,0.7984071862848324,63.86345574033764,2.5404399278588814
sh600626,2014-12-29,8.27,8.3,8.02,8.07,-0.024184,18219321.0,148128720.0,5731659530.0,5731659530.0,0.025652242548677696,92.58878281185893,2014-09-30 00:00:00,2014-10-31 00:00:00,34.0177291505399,0.826044145252547,66.07409679687055,2.6283775557413187
sh600626,2014-12-26,8.31,8.32,8.19,8.27,-0.0048130000000000004,14758118.0,121819487.0,5873708090.0,5873708090.0,0.020778975391676297,94.88344402208912,2014-09-30 00:00:00,2014-10-31 00:00:00,34.860802805590296,0.8465162953390261,67.71163497715814,2.6935175850173794
sh600626,2014-12-25,8.32,8.33,8.2,8.31,0.0024129999999999998,10280197.0,84884756.0,5902117800.0,5902117800.0,0.014474200611516089,95.34232664020844,2014-09-30 00:00:00,2014-10-31 00:00:00,35.02939930444258,0.8506102826293209,68.03910720011227,2.706544182166145
sh600626,2014-12-24,8.26,8.32,8.16,8.29,0.012209999999999999,10303556.0,84915559.0,5887912940.0,5887912940.0,0.01450708937282622,95.1128194069794,2014-09-30 00:00:00,2014-10-31 00:00:00,34.945076834042034,0.8485627008322127,67.87532404319604,2.700029012159803
sh600626,2014-12-23,8.15,8.34,8.12,8.19,0.002448,14734730.0,121237233.0,5816888660.0,5816888660.0,0.020746045825123287,93.96550064411474,2014-09-30 00:00:00,2014-10-31 00:00:00,34.523544357437714,0.8383267314413142,67.0565634040328,2.667459333695382
sh600626,2014-12-22,8.91,8.91,8.14,8.17,-0.096239,42773533.0,359293315.0,5802683810.0,5802683810.0,0.06022381643607082,93.73603483084884,2014-09-30 00:00:00,2014-10-31 00:00:00,34.43923710500466,0.8362795191783655,66.89280980562862,2.6609453395042757
sh600626,2014-12-19,9.6,9.65,9.03,9.04,-0.098704,83243533.0,767547710.0,6420595060.0,6420595060.0,0.11720432939435367,103.71772496362294,2014-09-30 00:00:00,2014-10-31 00:00:00,38.1065758591095,0.9253326036179538,74.01603942372886,2.9443020217781863
sh600626,2014-12-17,9.25,10.03,9.23,10.03,0.099781,100516206.0,998962382.0,7123735440.0,7123735440.0,0.14152372090056167,115.07620688832851,2014-09-30 00:00:00,2014-10-31 00:00:00,42.27975699338453,1.0266689340881952,82.1217884288057,3.266742581547224
sh600626,2014-12-16,9.18,9.22,9.08,9.12,-0.0076170000000000005,12542851.0,114589485.0,6477414480.0,6477414480.0,0.017659947726550298,104.63556552470767,2014-09-30 00:00:00,2014-10-31 00:00:00,38.44379653165907,0.9335212502199941,74.67103762367755,2.970357354370756
sh600626,2014-12-15,9.2,9.27,9.01,9.19,-0.0010869999999999999,14940833.0,136434368.0,6527131480.0,6527131480.0,0.02103623248447264,105.43869204199152,2014-09-30 00:00:00,2014-10-31 00:00:00,38.73887050832094,0.9406864589780296,75.24417248549959,2.993156225339164
sh600626,2014-12-12,9.05,9.25,9.02,9.2,0.016575,15803830.0,144644144.0,6534233910.0,6534233910.0,0.022251305662242506,105.55342861890026,2014-09-30 00:00:00,2014-10-31 00:00:00,38.78102548302098,0.9417100978543973,75.32605190391915,2.996413326625206
sh600626,2014-12-11,8.97,9.13,8.89,9.05,-0.001104,12753664.0,115183718.0,6427697480.0,6427697480.0,0.017956765942880065,103.83240648146989,2014-09-30 00:00:00,2014-10-31 00:00:00,38.1487106047473,0.9263557512769814,74.09787955037174,2.9475575600670942
sh600626,2014-12-10,8.8,9.09,8.8,9.06,0.029545,12794988.0,114698492.0,6434799910.0,6434799910.0,0.01801494885642839,103.94716415069226,2014-09-30 00:00:00,2014-10-31 00:00:00,38.190873328902406,0.9273795783314593,74.1797740208908,2.95081526011426
sh600626,2014-12-09,9.1,9.18,8.76,8.8,-0.041394,21772498.0,196270991.0,6250136780.0,6250136780.0,0.030655006305318012,100.96417752569559,2014-09-30 00:00:00,2014-10-31 00:00:00,37.09490437902414,0.9007664340378122,72.05102644458553,2.866135292885945
sh600626,2014-12-08,9.09,9.28,9.01,9.18,0.009901,18207734.0,166654875.0,6520029050.0,6520029050.0,0.025635928435012112,105.3239574191019,2014-09-30 00:00:00,2014-10-31 00:00:00,38.69671625154041,0.9396628375347246,75.16229446152593,2.989899179523125
sh600626,2014-12-05,9.49,9.49,9.0,9.09,-0.044164,28574215.0,263031894.0,6456107200.0,6456107200.0,0.040231614238065934,104.29136857880317,2014-09-30 00:00:00,2014-10-31 00:00:00,38.31733630478671,0.9304504476525169,74.42540849204617,2.96058641344362
sh600626,2014-12-04,9.56,9.56,9.4,9.51,-0.005229999999999999,24447228.0,231679939.0,6754409180.0,6754409180.0,0.03442094372494028,109.11010736026178,2014-09-30 00:00:00,2014-10-31 00:00:00,40.0877726982314,0.9734415188929031,77.8642031604231,3.097379062353395
sh600626,2014-12-03,9.6,9.72,9.44,9.56,-0.002088,25962946.0,247501376.0,6789921320.0,6789921320.0,0.036555027969013346,109.68375339049405,2014-09-30 00:00:00,2014-10-31 00:00:00,40.29853403121465,0.9785593844737005,78.27357395219306,3.11366352257647
sh600626,2014-12-02,9.68,9.96,9.56,9.58,0.001045,39274279.0,383126530.0,6804126180.0,6804126180.0,0.055296974639585536,109.91325226121548,2014-09-30 00:00:00,2014-10-31 00:00:00,40.382853429174766,0.9806068916634939,78.43735114137625,3.120178455190908
sh600626,2014-12-01,9.4,9.58,9.15,9.57,0.015924,31196007.0,292819300.0,6797023750.0,6797023750.0,0.04392301659825744,109.79851281532346,2014-09-30 00:00:00,2014-10-31 00:00:00,40.34069740039136,0.9795832271910794,78.3554696755653,3.116921272461187
sh600626,2014-11-28,9.26,9.44,9.23,9.42,0.016181,29196027.0,273292160.0,6690487330.0,6690487330.0,0.04110710636978368,108.07748691370955,2014-09-30 00:00:00,2014-10-31 00:00:00,39.70838113913182,0.9642288470309583,77.12729463578506,3.068065399046766
sh600626,2014-11-27,9.2,9.32,9.18,9.27,0.007609,16629648.0,153850928.0,6583950900.0,6583950900.0,0.02341403198495906,106.35653187149686,2014-09-30 00:00:00,2014-10-31 00:00:00,39.07609091208341,0.9488750990531789,75.89917016337155,3.0192115371639168
sh600626,2014-11-26,9.33,9.33,9.13,9.2,-0.013934,18006267.0,165705869.0,6534233910.0,6534233910.0,0.02535226909255227,105.55337623174947,2014-09-30 00:00:00,2014-10-31 00:00:00,38.781006235636454,0.9417096304748955,75.32601451889727,2.996411839477334
