code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sz000594,2014-04-30,1.53,1.54,1.46,1.53,0.033783999999999995,63538906.0,95655938.12,2285470990.0,2285470990.0,0.042535882802870316,19.813063603562266,2013-09-30 00:00:00,2013-10-26 00:00:00,-49.27177556058744,5.244967999796193,4.471478310335934,0.7469005636407949
sz000594,2014-04-29,1.35,1.48,1.35,1.48,0.049645,41434824.0,59936992.15,2210782400.0,2210782400.0,0.02773838778524743,19.165573856397724,2013-09-30 00:00:00,2013-10-26 00:00:00,-47.66157684834301,5.073562755659008,4.325350663519588,0.7224918973797184
sz000594,2014-04-28,1.46,1.46,1.41,1.41,-0.047297000000000006,32029384.0,45434946.98,2106218370.0,2106218370.0,0.021441951168624553,18.25910079731502,2013-09-30 00:00:00,2013-10-26 00:00:00,-45.407329952834544,4.8335987459179135,4.120774798641053,0.688320239109145
sz000594,2014-04-25,1.56,1.56,1.48,1.48,-0.05128200000000001,53625575.0,79763229.04,2210782400.0,2210782400.0,0.0358994403972096,19.1655749979952,2013-09-30 00:00:00,2013-10-26 00:00:00,-47.661579687305014,5.073563057865793,4.325350921159116,0.722491940414951
sz000594,2014-04-24,1.56,1.6,1.56,1.56,0.0,18049228.0,28421162.41,2330284150.0,2330284150.0,0.012082988111127993,20.201550932938137,2013-09-30 00:00:00,2013-10-26 00:00:00,-50.2378785764632,5.347809420571543,4.559153427213478,0.7615455176511366
sz000594,2014-04-23,1.55,1.57,1.54,1.56,0.006451999999999999,13563656.0,21159613.64,2330284150.0,2330284150.0,0.009080138729004358,20.201550932938137,2013-09-30 00:00:00,2013-10-26 00:00:00,-50.2378785764632,5.347809420571543,4.559153427213478,0.7615455176511366
sz000594,2014-04-22,1.59,1.6,1.54,1.55,-0.025157,21958059.0,34373620.76,2315346430.0,2315346430.0,0.014699740396947856,20.07204609155542,2013-09-30 00:00:00,2013-10-26 00:00:00,-49.91582169488779,5.313526547288438,4.529926342451978,0.7566635245904789
sz000594,2014-04-21,1.61,1.64,1.59,1.59,-0.018519,24209310.0,39018572.9,2375097310.0,2375097310.0,0.016206831921341362,20.59002946274982,2013-09-30 00:00:00,2013-10-26 00:00:00,-51.20395970929452,5.450648511902367,4.646826558176012,0.7761901399409741
sz000594,2014-04-18,1.58,1.65,1.57,1.62,0.006211,32146116.0,52098490.3,2419910470.0,2419910470.0,0.02152009694804949,20.978530876043262,2013-09-30 00:00:00,2013-10-26 00:00:00,-52.170097749517836,5.553493661010622,4.734504853559073,0.7908356248780913
sz000594,2014-04-17,1.57,1.62,1.54,1.61,0.018987,38331765.0,60401108.21,2404972750.0,2404972750.0,0.025661056513010386,20.849037504105265,2013-09-30 00:00:00,2013-10-26 00:00:00,-51.848069390533226,5.519213823950067,4.705280357260129,0.7859540641854356
sz000594,2014-04-16,1.63,1.64,1.56,1.58,-0.036585,49363983.0,78673526.44,2360159590.0,2360159590.0,0.03304653357784166,20.46055298458691,2013-09-30 00:00:00,2013-10-26 00:00:00,-50.88197336230318,5.41637314700783,4.617605874520606,0.771309216099357
sz000594,2014-04-15,1.69,1.7,1.63,1.64,-0.040936,48505213.0,79940421.84,2449785900.0,2449785900.0,0.03247163326395176,21.23752794443403,2013-09-30 00:00:00,2013-10-26 00:00:00,-52.814180142828555,5.622056068265316,4.7929561762279045,0.800599135470547
sz000594,2014-04-14,1.72,1.73,1.68,1.71,-0.011561,21825673.0,37155531.48,2554349940.0,2554349940.0,0.014611115041661049,22.14401535709195,2013-09-30 00:00:00,2013-10-26 00:00:00,-55.068462733278025,5.862023877723818,4.997535280469191,0.8347713348332821
sz000594,2014-04-11,1.73,1.75,1.72,1.73,-0.0057469999999999995,14439144.0,25050592.12,2584225370.0,2584225370.0,0.00966623089842973,22.403016632378883,2013-09-30 00:00:00,2013-10-26 00:00:00,-55.71255558843594,5.9305873986394895,5.055987552564388,0.8445350040146962
sz000594,2014-04-10,1.73,1.74,1.72,1.74,0.0057799999999999995,15674778.0,27092061.8,2599163090.0,2599163090.0,0.010493421449748273,22.53251097294037,2013-09-30 00:00:00,2013-10-26 00:00:00,-56.03458635622516,5.964867492116684,5.085212267465512,0.8494166012219184
sz000594,2014-04-09,1.72,1.75,1.71,1.73,0.005814,16845047.0,29175529.67,2584225370.0,2584225370.0,0.01127685365537604,22.403021508620544,2013-09-30 00:00:00,2013-10-26 00:00:00,-55.712567714833426,5.930588689491424,5.055988653050878,0.8445351878362252
sz000594,2014-04-08,1.72,1.73,1.7,1.72,0.0,16590618.0,28493037.72,2569287650.0,2569287650.0,0.011106527118518629,22.273523244477154,2013-09-30 00:00:00,2013-10-26 00:00:00,-55.39052718975221,5.896307557352975,5.026763052662698,0.8396534427202497
