index_code,date,open,close,low,high,volume,money,change
sz399006,2014-12-31,1455.68,1471.76,1451.29,1479.86,6278563.0,14167672000.0,0.007978850908493262
sz399006,2014-12-30,1491.1,1460.11,1450.05,1493.44,7632860.000000001,17382715900.0,-0.02620381485927714
sz399006,2014-12-29,1531.12,1499.4,1491.21,1531.12,8416280.0,18724891100.0,-0.02387896463725836
sz399006,2014-12-26,1531.2,1536.08,1524.01,1539.16,6024367.0,14180960000.0,0.004321758517656482
sz399006,2014-12-25,1522.0,1529.47,1514.23,1531.64,5972622.0,14283411500.0,0.0063626792999078585
sz399006,2014-12-24,1502.67,1519.8,1501.23,1524.27,5908523.0,13428859200.0,0.015549304056717839
sz399006,2014-12-23,1501.53,1496.53,1489.12,1543.35,7374960.000000001,16670237800.0,-0.014098146818364521
sz399006,2014-12-22,1583.96,1517.93,1510.05,1583.96,9139626.0,20599063600.0,-0.0493984882359203
sz399006,2014-12-19,1627.8,1596.81,1568.98,1627.8,8451846.0,19943629200.0,-0.02279000030598821
sz399006,2014-12-18,1641.58,1634.05,1633.26,1663.67,7890489.999999999,19728892500.0,-0.006179259340351906
sz399006,2014-12-17,1639.15,1644.21,1623.7,1652.98,8897670.0,22536643500.0,-0.0032553740952241395
sz399006,2014-12-16,1665.3,1649.58,1636.18,1674.98,9025219.0,22480964400.0,-0.004778280542986457
sz399006,2014-12-15,1623.6,1657.5,1619.7,1664.26,10029890.0,24805460900.0,0.020898390583713677
sz399006,2014-12-12,1588.24,1623.57,1586.75,1626.34,10250238.0,24450985200.0,0.022611751812404268
sz399006,2014-12-11,1572.61,1587.67,1563.32,1593.38,10808212.0,25535591900.0,0.009525081230248755
sz399006,2014-12-10,1499.33,1572.69,1499.33,1576.89,11645016.0,28047392400.000004,0.04524065877098549
sz399006,2014-12-09,1557.02,1504.62,1504.23,1577.75,13437291.0,30842828600.0,-0.03990658260802993
sz399006,2014-12-08,1575.3,1567.16,1554.79,1600.87,11905377.0,27493961900.0,-0.009324171413038651
sz399006,2014-12-05,1626.12,1581.91,1544.47,1626.12,12453165.0,28606680200.0,-0.024626198477047723
sz399006,2014-12-04,1604.89,1621.85,1604.89,1631.31,11818100.0,28362070600.0,0.010844837794882878
sz399006,2014-12-03,1568.47,1604.45,1540.42,1604.88,13363363.0,31190680000.0,0.02493260594600799
sz399006,2014-12-02,1554.46,1565.42,1552.13,1567.54,8125992.0,19035556300.0,0.00844547802951734
sz399006,2014-12-01,1569.65,1552.31,1544.18,1569.65,8887778.0,19653648800.0,-0.011802527294140108
sz399006,2014-11-28,1562.83,1570.85,1558.31,1582.48,9557240.0,21705573200.0,0.004758828458305775
sz399006,2014-11-27,1557.77,1563.41,1548.29,1566.83,7923711.0,18221710900.0,0.005912933818893018
sz399006,2014-11-26,1544.69,1554.22,1544.1,1561.3,7977083.0,18415205700.0,0.00797706755214267
sz399006,2014-11-25,1510.62,1541.92,1510.25,1541.92,8047757.000000001,18123054100.0,0.02262221367413675
sz399006,2014-11-24,1513.43,1507.81,1497.85,1515.84,6760055.0,14604530100.0,0.0019802901324401656
sz399006,2014-11-21,1493.16,1504.83,1493.16,1508.22,5378336.0,11845412200.0,0.0068513773007983225
sz399006,2014-11-20,1504.58,1494.59,1491.65,1504.58,5896627.0,13520587300.0,-0.007279731659526445
sz399006,2014-11-19,1488.46,1505.55,1488.46,1509.73,5962341.0,13058575000.0,0.015986665406988454
sz399006,2014-11-18,1471.08,1481.86,1470.51,1483.14,5174422.0,10473513100.0,0.006910422711304598
sz399006,2014-11-17,1444.06,1471.69,1437.99,1474.36,5206731.0,10522923100.0,0.021148895719568905
sz399006,2014-11-14,1438.97,1441.21,1435.5,1449.1,4424866.0,8746362500.0,-0.0011435620919562073
sz399006,2014-11-13,1473.74,1442.86,1434.27,1473.74,6611011.0,13476264900.0,-0.022286972725732768
sz399006,2014-11-12,1457.24,1475.75,1455.09,1476.03,4657556.0,9668865100.0,0.009743347633611732
sz399006,2014-11-11,1513.53,1461.51,1452.03,1514.37,7822258.0,16163519200.0,-0.03519230007525642
sz399006,2014-11-10,1525.2,1514.82,1506.8,1526.38,6105761.0,13229759200.0,-0.005129282885533715
sz399006,2014-11-07,1535.49,1522.63,1517.29,1543.72,7687742.999999999,17128694800.0,-0.006453423120089674
sz399006,2014-11-06,1513.72,1532.52,1510.78,1532.87,5793310.0,12731389400.0,0.013243062764051405
sz399006,2014-11-05,1514.77,1512.49,1505.98,1517.02,5509058.0,11650673899.999998,-0.0025784753363229385
