index_code,date,open,close,low,high,volume,money,change
sz399005,2014-12-31,5388.73,5461.19,5381.23,5464.83,15282381.0,26946663400.0,0.012946568510161516
sz399005,2014-12-30,5491.4,5391.39,5380.07,5500.14,16092626.0,28015913100.0,-0.01939960531461149
sz399005,2014-12-29,5577.32,5498.05,5462.17,5579.74,18787257.0,31537055099.999996,-0.012138831143396644
sz399005,2014-12-26,5519.98,5565.61,5498.91,5566.04,15323539.000000002,25831765299.999996,0.00847643431669387
sz399005,2014-12-25,5470.35,5518.83,5463.26,5518.83,12666465.0,21688562500.0,0.01202028870698002
sz399005,2014-12-24,5414.39,5453.28,5393.58,5457.22,13715679.999999998,22705959400.0,0.012491645005569874
sz399005,2014-12-23,5433.04,5386.0,5381.15,5510.79,14259066.0,23910341000.0,-0.01232666204554378
sz399005,2014-12-22,5646.06,5453.22,5435.25,5646.06,21222951.0,35247932100.0,-0.03791889770030776
sz399005,2014-12-19,5749.18,5668.15,5600.87,5750.03,19083650.0,33409291100.0,-0.016084543666602613
sz399005,2014-12-18,5775.47,5760.81,5758.54,5809.41,19742081.0,35435040600.0,-0.005575588932369535
sz399005,2014-12-17,5839.42,5793.11,5724.76,5839.42,23711622.0,39649932400.0,-0.009772181844287853
sz399005,2014-12-16,5885.76,5850.28,5820.2,5898.03,21043719.0,36180761200.0,-0.0054231594408876704
sz399005,2014-12-15,5758.9,5882.18,5753.82,5888.85,23101418.0,39742108600.0,0.017926518406739422
sz399005,2014-12-12,5737.36,5778.59,5727.45,5790.26,21122559.0,34736637000.0,0.00910511748116205
sz399005,2014-12-11,5680.47,5726.45,5660.41,5753.47,23060461.0,38910110200.0,0.004332003332310208
sz399005,2014-12-10,5500.05,5701.75,5500.05,5707.21,26203331.0,42311614200.0,0.038759336855529236
sz399005,2014-12-09,5693.36,5489.0,5479.45,5717.04,33617038.0,55975912800.0,-0.03936351926523296
sz399005,2014-12-08,5667.95,5713.92,5624.45,5737.08,26498189.0,46677589800.00001,0.0028450026414121865
sz399005,2014-12-05,5827.1,5697.71,5557.49,5827.1,30845677.0,52081613300.0,-0.019848307870684923
sz399005,2014-12-04,5701.74,5813.09,5701.74,5817.29,27940983.0,46707852100.0,0.02023412545192871
